retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,variant,alpha,beta,margin,threshold,candidate_top_n,recall_minus_violation,balanced_score
bm25,gate_score_call_a1_b1.5_m0_t0,50,0.64,0.36,14.18,20.5,gate,1.0,1.5,0.0,0.0,all,0.28,0.46
bm25,gate_score_call_a0.25_b1_m0_t0,50,0.54,0.26,20.9,28.98,gate,0.25,1.0,0.0,0.0,all,0.28,0.41000000000000003
bm25,gate_score_call_a1.5_b2_m0_t0,50,0.58,0.3,17.06,24.92,gate,1.5,2.0,0.0,0.0,all,0.27999999999999997,0.42999999999999994
bm25,gate_score_call_a0.25_b1.5_m0_t0,50,0.52,0.26,45.3,71.22,gate,0.25,1.5,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a0.25_b2_m0_t0,50,0.52,0.26,46.18,73.1,gate,0.25,2.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a0.25_b3_m0_t0,50,0.52,0.26,46.44,73.48,gate,0.25,3.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a0.5_b1.5_m0_t0,50,0.52,0.26,40.24,62.54,gate,0.5,1.5,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a0.5_b2_m0_t0,50,0.52,0.26,45.66,72.3,gate,0.5,2.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a0.5_b3_m0_t0,50,0.52,0.26,46.06,73.18,gate,0.5,3.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a0.75_b1.5_m0_t0,50,0.52,0.26,23.88,37.04,gate,0.75,1.5,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a0.75_b2_m0_t0,50,0.52,0.26,44.16,69.48,gate,0.75,2.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a0.75_b3_m0_t0,50,0.52,0.26,45.58,72.74,gate,0.75,3.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a1_b2_m0_t0,50,0.52,0.26,39.22,61.28,gate,1.0,2.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a1_b3_m0_t0,50,0.52,0.26,45.16,72.22,gate,1.0,3.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a1.5_b3_m0_t0,50,0.52,0.26,44.02,70.02,gate,1.5,3.0,0.0,0.0,all,0.26,0.39
bm25,gate_score_call_a2_b3_m0_t0,50,0.52,0.26,38.56,59.54,gate,2.0,3.0,0.0,0.0,all,0.26,0.39
bm25,linear_score_c10_a0.5_b1.5_m0_t0,50,0.4,0.14,9.4,10.52,linear,0.5,1.5,0.0,0.0,10,0.26,0.33
bm25,gate_score_call_a0_b0.75_m0_t0,50,0.58,0.32,18.52,24.1,gate,0.0,0.75,0.0,0.0,all,0.25999999999999995,0.41999999999999993
bm25,gate_score_c20_a0.75_b1.5_m0_t0,50,0.64,0.4,8.64,9.98,gate,0.75,1.5,0.0,0.0,20,0.24,0.44
bm25,gate_score_call_a0_b1_m0_t0,50,0.5,0.26,40.42,62.96,gate,0.0,1.0,0.0,0.0,all,0.24,0.37
bm25,gate_score_call_a0_b1.5_m0_t0,50,0.5,0.26,46.24,73.14,gate,0.0,1.5,0.0,0.0,all,0.24,0.37
bm25,gate_score_call_a0_b2_m0_t0,50,0.5,0.26,46.54,73.54,gate,0.0,2.0,0.0,0.0,all,0.24,0.37
bm25,gate_score_call_a0_b3_m0_t0,50,0.5,0.26,46.66,73.66,gate,0.0,3.0,0.0,0.0,all,0.24,0.37
bm25,linear_score_c10_a0_b1_m0_t0,50,0.44,0.2,9.08,10.3,linear,0.0,1.0,0.0,0.0,10,0.24,0.33999999999999997
bm25,linear_score_c10_a1_b2_m0_t0,50,0.38,0.14,9.32,10.5,linear,1.0,2.0,0.0,0.0,10,0.24,0.31
bm25,gate_score_c5_a0.75_b2_m0_t0,50,0.56,0.34,7.1,8.08,gate,0.75,2.0,0.0,0.0,5,0.22000000000000003,0.39
bm25,gate_score_c5_a0.25_b1.5_m0_t0,50,0.52,0.3,7.18,8.14,gate,0.25,1.5,0.0,0.0,5,0.22000000000000003,0.37
bm25,gate_score_c10_a0_b1_m0_t0,50,0.52,0.3,8.34,9.8,gate,0.0,1.0,0.0,0.0,10,0.22000000000000003,0.37
bm25,linear_score_c5_a0.75_b2_m0_t0,50,0.46,0.24,7.62,8.36,linear,0.75,2.0,0.0,0.0,5,0.22000000000000003,0.34
bm25,gate_score_c10_a0.5_b1.5_m0_t0,50,0.5,0.28,8.54,10.0,gate,0.5,1.5,0.0,0.0,10,0.21999999999999997,0.36
bm25,gate_score_c10_a1_b2_m0_t0,50,0.5,0.28,8.48,9.92,gate,1.0,2.0,0.0,0.0,10,0.21999999999999997,0.36
bm25,gate_score_c10_a2_b3_m0_t0,50,0.5,0.28,8.5,9.86,gate,2.0,3.0,0.0,0.0,10,0.21999999999999997,0.36
bm25,gate_score_c10_a0.25_b1.5_m0_t0,50,0.48,0.26,9.16,11.22,gate,0.25,1.5,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c10_a0.25_b2_m0_t0,50,0.48,0.26,9.24,11.5,gate,0.25,2.0,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c10_a0.25_b3_m0_t0,50,0.48,0.26,9.36,11.58,gate,0.25,3.0,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c10_a0.5_b2_m0_t0,50,0.48,0.26,9.18,11.32,gate,0.5,2.0,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c10_a0.5_b3_m0_t0,50,0.48,0.26,9.32,11.58,gate,0.5,3.0,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c10_a0.75_b2_m0_t0,50,0.48,0.26,9.1,11.08,gate,0.75,2.0,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c10_a0.75_b3_m0_t0,50,0.48,0.26,9.34,11.56,gate,0.75,3.0,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c10_a1_b3_m0_t0,50,0.48,0.26,9.24,11.44,gate,1.0,3.0,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c10_a1.5_b3_m0_t0,50,0.48,0.26,9.12,11.24,gate,1.5,3.0,0.0,0.0,10,0.21999999999999997,0.35
bm25,gate_score_c20_a0.25_b1.5_m0_t0,50,0.48,0.26,13.6,17.82,gate,0.25,1.5,0.0,0.0,20,0.21999999999999997,0.35
bm25,gate_score_c20_a0.25_b2_m0_t0,50,0.48,0.26,13.86,18.36,gate,0.25,2.0,0.0,0.0,20,0.21999999999999997,0.35
bm25,gate_score_c20_a0.25_b3_m0_t0,50,0.48,0.26,13.9,18.38,gate,0.25,3.0,0.0,0.0,20,0.21999999999999997,0.35
bm25,gate_score_c20_a0.5_b1.5_m0_t0,50,0.48,0.26,12.4,15.34,gate,0.5,1.5,0.0,0.0,20,0.21999999999999997,0.35
bm25,gate_score_c20_a0.5_b2_m0_t0,50,0.48,0.26,13.72,18.04,gate,0.5,2.0,0.0,0.0,20,0.21999999999999997,0.35
bm25,gate_score_c20_a0.5_b3_m0_t0,50,0.48,0.26,13.88,18.38,gate,0.5,3.0,0.0,0.0,20,0.21999999999999997,0.35
bm25,gate_score_c20_a0.75_b2_m0_t0,50,0.48,0.26,13.5,17.46,gate,0.75,2.0,0.0,0.0,20,0.21999999999999997,0.35
bm25,gate_score_c20_a0.75_b3_m0_t0,50,0.48,0.26,13.88,18.34,gate,0.75,3.0,0.0,0.0,20,0.21999999999999997,0.35
bm25,gate_score_c20_a1_b2_m0_t0,50,0.48,0.26,12.32,15.16,gate,1.0,2.0,0.0,0.0,20,0.21999999999999997,0.35
